helek,time_s,entropy,trit,ch_trits,delta,theta,alpha,beta,gamma,commit_hash,splitmix_seed
0,0.0,0.564,0,"[0, 0, 0, 0]",312.77,12.67,9.28,3.98,2.72,39d41d88053d77ee,17183269997223203897
1,3.334,0.37,0,"[0, 0, 0, 0]",5149.67,211.41,64.35,20.42,2.66,9c85ac97ef905764,7230407085482870172
2,6.668,0.4994,0,"[0, 0, 0, 0]",1015.4,69.05,14.06,5.58,2.17,7e679f367f42c406,487587773807552382
3,10.002,0.4522,0,"[0, 0, 0, 0]",2490.41,147.1,35.84,7.82,4.08,e5e1cb9598be62d2,15159888858239984101
4,13.336,0.4747,0,"[0, 0, 0, 0]",1927.88,119.43,26.48,9.72,3.82,b827ebb207463bb9,13347338919523067832
5,16.67,1.1211,0,"[0, 0, 0, 0]",759.36,64.52,51.84,47.14,29.26,5612afe0fa78cb61,7046859060857999958
6,20.004,0.6877,0,"[0, 0, 0, 0]",1015.23,89.66,31.56,12.42,3.81,97387ae595ea9168,7535061581088569495
7,23.338,1.1488,0,"[0, 0, 0, 0]",1511.81,248.39,74.1,107.16,22.42,32c360abb21fbef5,17707625637107254066
8,26.672,1.6938,0,"[0, 0, 0, 0]",148.29,71.73,39.72,14.95,3.42,b1d9a8e80dc5ca00,57074608824179121
9,30.006,1.8935,0,"[0, 0, 0, 0]",10.16,4.04,2.72,1.78,1.05,0eefadbac3a94ed2,15154236454263975694
10,33.34,1.5611,0,"[0, 0, 0, 0]",116.02,52.32,26.71,6.6,1.42,4c81aaa7345380fe,18338749168269033804
11,36.674,1.5215,0,"[0, 0, 0, 0]",26.63,6.39,3.08,2.82,1.22,12e28afdf23fa5db,15827126778331849234
12,40.008,1.0502,0,"[0, 0, 0, 0]",60.34,11.04,3.39,1.47,0.75,af99febc66f8bc8f,10357426363186452911
13,43.342,0.6789,0,"[0, 0, 0, 0]",600.03,83.55,5.98,3.51,2.61,d6623eb5f1ef1296,10813969476676903638
14,46.676,0.4377,0,"[0, 0, 0, 0]",2751.54,164.21,34.84,6.67,3.92,57a4bf2667361d0b,800856125401441367
15,50.01,1.1049,0,"[0, 0, 0, 0]",34.56,4.03,1.82,1.72,1.27,e1511babbe59f933,3745123240584630753
16,53.344,1.0824,0,"[0, 0, 0, 0]",334.87,94.44,17.74,3.61,3.11,e516714da6888145,5008434508457907941
17,56.678,1.381,0,"[0, 0, 0, 0]",24.42,4.15,1.75,2.15,1.46,dae8ede6b2c043a6,11980631308346714330
18,60.012,1.1865,0,"[0, 0, 0, 0]",101.03,26.55,4.86,3.61,2.1,22aa21e3a3f2e43d,4459956316707858978
19,63.346,1.4428,0,"[0, 0, 0, 0]",45.23,17.32,3.52,2.32,2.2,b1f8cf33df91a9f4,17629782604151519409
20,66.68,0.6619,0,"[0, 0, 0, 0]",971.18,85.91,27.34,6.9,5.77,21a7d8b985d2e715,1578461666207115041
21,70.014,1.1487,0,"[0, 0, 0, 0]",93.44,10.93,5.88,4.1,4.44,0476849c4f88b9d0,15040202306090202628
22,73.348,0.4248,0,"[0, 0, 0, 0]",264.48,5.32,3.64,3.53,3.34,38ddb1dea187e85b,6622692381343997240
23,76.682,0.4991,0,"[0, 0, 0, 0]",33348.51,3281.09,259.3,16.7,3.38,9d052b15ea8f80b6,13150669147462108573
24,80.016,0.7412,0,"[0, 0, 0, 0]",516.72,36.47,19.16,11.76,4.53,b97492ba8ae8f0da,15776365177212138681
25,83.35,0.7721,-1,"[0, -1, 0, 0]",452.55,28.55,20.33,10.7,5.79,52582609d772d5dc,15912751126280558674
26,86.684,0.718,0,"[0, 0, 0, 0]",2104.03,175.66,76.53,29.88,12.17,fc2a7edf1c1c0595,10738019796869065468
27,90.018,0.6694,0,"[0, 0, 0, 0]",415.06,23.45,13.37,8.13,3.93,5cb285a74e5cde9b,11231516013596357212
28,93.352,0.349,0,"[0, 0, 0, 0]",1629.36,37.85,16.97,14.02,8.99,fb2af1128ee8eaef,17287885816515865339
29,96.686,0.6853,0,"[0, 0, 0, 0]",4975.33,557.51,120.05,36.13,14.54,639de42e59eea90d,984580060363398499
30,100.02,0.5141,0,"[0, 0, 0, 0]",921.01,43.73,14.23,9.26,8.82,9280e7972edc767b,8896540206592131218
31,103.354,0.7867,0,"[0, 0, 0, 0]",509.07,63.26,17.06,5.68,2.78,c05312890d9193fe,18344165194530444224
32,106.688,0.6432,0,"[0, 0, 0, 0]",1957.89,187.13,34.46,20.72,8.4,b978095fe2774038,4053371478774216889
33,110.022,0.9474,0,"[0, 0, 0, 0]",1596.54,425.35,35.32,16.69,7.76,31b6ca940debe8e7,16710864860921640497
34,113.356,1.2533,0,"[0, 0, 0, 0]",215.15,88.35,12.27,5.71,3.33,596f0616a4f4359c,11256171829263757145
