helek,time_s,entropy,trit,rauzy_tile,brain_color,splitmix_hue,commit_hash,splitmix_seed
0,0.0,0.564,0,a,#ed623e,234.22,39d41d88053d77ee,17183269997223203897
1,3.334,0.37,0,b,#a61594,149.32,9c85ac97ef905764,7230407085482870172
2,6.668,0.4994,0,a,#d0baaa,276.90,7e679f367f42c406,487587773807552382
3,10.002,0.4522,0,c,#04b3c2,339.22,e5e1cb9598be62d2,15159888858239984101
4,13.336,0.4747,0,a,#a23751,148.97,b827ebb207463bb9,13347338919523067832
5,16.67,1.1211,0,b,#e10f77,293.67,5612afe0fa78cb61,7046859060857999958
6,20.004,0.6877,0,a,#c20aa6,84.22,97387ae595ea9168,7535061581088569495
7,23.338,1.1488,0,a,#baa8a4,18.60,32c360abb21fbef5,17707625637107254066
8,26.672,1.6938,0,b,#bfc411,283.37,b1d9a8e80dc5ca00,57074608824179121
9,30.006,1.8935,0,a,#e6dbc0,117.44,0eefadbac3a94ed2,15154236454263975694
10,33.34,1.5611,0,c,#ff4049,65.05,4c81aaa7345380fe,18338749168269033804
11,36.674,1.5215,0,a,#c966ff,288.63,12e28afdf23fa5db,15827126778331849234
12,40.008,1.0502,0,b,#a77de5,1.97,af99febc66f8bc8f,10357426363186452911
13,43.342,0.6789,0,a,#ab0761,53.13,d6623eb5f1ef1296,10813969476676903638
14,46.676,0.4377,0,b,#579f6b,249.07,57a4bf2667361d0b,800856125401441367
15,50.01,1.1049,0,a,#962d45,185.65,e1511babbe59f933,3745123240584630753
16,53.344,1.0824,0,c,#067026,45.18,e516714da6888145,5008434508457907941
17,56.678,1.381,0,a,#e18832,228.34,dae8ede6b2c043a6,11980631308346714330
18,60.012,1.1865,0,b,#08b9ab,273.07,22aa21e3a3f2e43d,4459956316707858978
19,63.346,1.4428,0,a,#61b48a,4.90,b1f8cf33df91a9f4,17629782604151519409
20,66.68,0.6619,0,a,#5d5646,306.94,21a7d8b985d2e715,1578461666207115041
21,70.014,1.1487,0,b,#a8e25b,150.35,0476849c4f88b9d0,15040202306090202628
22,73.348,0.4248,0,a,#28adc4,350.76,38ddb1dea187e85b,6622692381343997240
23,76.682,0.4991,0,c,#4bd4db,45.71,9d052b15ea8f80b6,13150669147462108573
24,80.016,0.7412,0,a,#1a4c29,84.89,b97492ba8ae8f0da,15776365177212138681
25,83.35,0.7721,-1,b,#7ab19a,119.94,52582609d772d5dc,15912751126280558674
26,86.684,0.718,0,a,#fe9551,332.01,fc2a7edf1c1c0595,10738019796869065468
27,90.018,0.6694,0,c,#f5c6ef,41.11,5cb285a74e5cde9b,11231516013596357212
28,93.352,0.349,0,a,#40249a,9.22,fb2af1128ee8eaef,17287885816515865339
29,96.686,0.6853,0,b,#8a9756,357.66,639de42e59eea90d,984580060363398499
30,100.02,0.5141,0,a,#ab872b,127.47,9280e7972edc767b,8896540206592131218
31,103.354,0.7867,0,a,#728d55,161.81,c05312890d9193fe,18344165194530444224
32,106.688,0.6432,0,b,#a582d2,359.22,b978095fe2774038,4053371478774216889
33,110.022,0.9474,0,a,#edb470,78.24,31b6ca940debe8e7,16710864860921640497
34,113.356,1.2533,0,c,#e588bd,26.21,596f0616a4f4359c,11256171829263757145
35,116.69,0.8296,0,a,#afdd7d,72.93,bb7bc712dc2a7c5d,6736306267335654331
36,120.024,0.9963,0,b,#c00b26,322.94,93bcf53b4f22bb80,9276045581203389587
37,123.358,0.8726,0,a,#5dabd3,45.95,3baff9d80bd6be5c,6683014243437621051
38,126.692,0.6839,0,b,#b29fa2,315.54,c295dce35a0cfea2,11744838462738306498
39,130.026,0.5919,0,a,#cdcb54,280.84,aadc5c071fc0aa22,2498020182830406826
40,133.36,0.5859,0,c,#4f4370,309.92,e60fab18705bdd14,1503458387619942374
41,136.694,0.9423,0,a,#c9d641,123.85,d0e46399bbbc28ed,17089116299975714000
42,140.028,0.6826,0,b,#e3ce88,154.96,b427ee18b9aa1217,1662578924417066932
43,143.362,0.6256,0,a,#8ad37c,111.96,b650432176e8f0bd,13686694861640782006
44,146.696,0.932,0,a,#e20864,79.40,6eab1d359a5e662d,3271406195740355438
45,150.03,0.4219,0,b,#b9a8c3,260.83,d667facceeb88541,4721383120148522966
46,153.364,0.8207,0,a,#18efff,190.07,fec5fea0081d0d9e,11388790955587847678
